concept_id	domain	zh	en	my	english_backtranslation	english_similarity	burmese_backtranslation	burmese_similarity	source_url	action
silver-0cadf2c395046d5e	finance	投资银行	Investment Bank	ရင်းနှီးမြှုပ်နှံမှု ဘဏ်များ	投资银行	1.0	投资银行	1.0	https://zh.wikipedia.org/wiki/%E6%8A%95%E8%B5%84%E9%93%B6%E8%A1%8C	REVIEW
silver-5f7d6b305414b236	finance	昆明市	Kunming City	ကွမ်မိန်မြို့	昆明市	1.0	昆明市	1.0	https://zh.wikipedia.org/wiki/%E6%98%86%E6%98%8E%E5%B8%82	REVIEW
silver-a1b7df06c7aeb83f	finance	市场经济	Market economy	စျေးကွက်စီးပွားရေး	市场经济	1.0	市场经济	1.0	https://zh.wikipedia.org/wiki/%E5%B8%82%E5%9C%BA%E7%BB%8F%E6%B5%8E	REVIEW
silver-bfc11fbecdd2bb7f	finance	马歇尔计划	Marshall Plan	Marshall အစီအစဉ်	马歇尔计划	1.0	马歇尔计划	1.0	https://zh.wikipedia.org/wiki/%E9%A9%AC%E6%AD%87%E5%B0%94%E8%AE%A1%E5%88%92	REVIEW
silver-09fdb8c909a83ac7	finance	莫斯科	Moscow	မော်စကို	莫斯科	1.0	莫斯科	1.0	https://zh.wikipedia.org/wiki/%E8%8E%AB%E6%96%AF%E7%A7%91	REVIEW
silver-59e532e27486a779	finance	诺贝尔奖	Nobel Prize	နိုဘယ်လ်ဆု	诺贝尔奖	1.0	诺贝尔奖	1.0	https://zh.wikipedia.org/wiki/%E8%AF%BA%E8%B4%9D%E5%B0%94%E5%A5%96	REVIEW
silver-bb9636f93fcbe51a	finance	政治经济学	Political economics	နိုင်ငံရေး စီးပွားရေး	政治经济学	1.0	经济政治	0.8	https://zh.wikipedia.org/wiki/%E6%94%BF%E6%B2%BB%E7%BB%8F%E6%B5%8E%E5%AD%A6	REVIEW
silver-87590ca9c7e222df	finance	布拉格	Prague	ဘရာဂ်	布拉格	1.0	布拉格	1.0	https://zh.wikipedia.org/wiki/%E5%B8%83%E6%8B%89%E6%A0%BC	REVIEW
silver-026f532c21e1f341	finance	公共政策	Public policy	ပြည်သူ့မူဝါဒ	公共政策	1.0	公共政策	1.0	https://zh.wikipedia.org/wiki/%E5%85%AC%E5%85%B1%E6%94%BF%E7%AD%96	REVIEW
silver-0421d6eb1edb9871	finance	零售银行	Retail banks	လက်လီဘဏ်	零售银行	1.0	零售银行	1.0	https://zh.wikipedia.org/wiki/%E9%9B%B6%E5%94%AE%E9%93%B6%E8%A1%8C	REVIEW
silver-e191231ef91b4f7f	finance	风险管理	Risk management	အန္တရာယ် စီမံခန့်ခွဲမှု	风险管理	1.0	风险管理	1.0	https://zh.wikipedia.org/wiki/%E9%A3%8E%E9%99%A9%E7%AE%A1%E7%90%86	REVIEW
silver-4ff4a08c1af3991f	finance	卢旺达	Rwanda	ရဝမ်ဒါနိုင်ငံ	卢旺达	1.0	卢旺达	1.0	https://zh.wikipedia.org/wiki/%E5%8D%A2%E6%97%BA%E8%BE%BE	REVIEW
silver-56d28e2e9bf46f8a	finance	二次革命	Second Revolution	ဒုတိယ တော်လှန်ရေး	第二次革命	0.8	第二次革命	0.8	https://zh.wikipedia.org/wiki/%E4%BA%8C%E6%AC%A1%E9%9D%A9%E5%91%BD	REVIEW
silver-357708125261e228	finance	太阳能	Solar energy	နေရောင်ခြည်စွမ်းအင်	太阳能	1.0	太阳能	1.0	https://zh.wikipedia.org/wiki/%E5%A4%AA%E9%98%B3%E8%83%BD	REVIEW
silver-2e2fe80cb6ccff47	finance	法国大革命	The French Revolution	ပြင်သစ်တော်လှန်ရေး	法国革命	0.8889	法国革命	0.8889	https://zh.wikipedia.org/wiki/%E6%B3%95%E5%9B%BD%E5%A4%A7%E9%9D%A9%E5%91%BD	REVIEW
silver-47b696932b192bd2	finance	西藏自治区	Tibet Autonomous Region	တိဘက် ကိုယ်ပိုင်အုပ်ချုပ်ခွင့်ရဒေသ	西藏自治区	1.0	藏族自治区	0.8	https://zh.wikipedia.org/wiki/%E8%A5%BF%E8%97%8F%E8%87%AA%E6%B2%BB%E5%8C%BA	REVIEW
silver-a80897a5726b4d47	finance	交通事故	Traffic accidents	ယာဉ်မတော်တဆမှု	交通事故	1.0	交通事故	1.0	https://zh.wikipedia.org/wiki/%E4%BA%A4%E9%80%9A%E4%BA%8B%E6%95%85	REVIEW
silver-5ae0e5f8fc2518e2	finance	美国国会	United States Congress	အမေရိကန် လွှတ်တော်	美国国会	1.0	美国国会	1.0	https://zh.wikipedia.org/wiki/%E7%BE%8E%E5%9B%BD%E5%9B%BD%E4%BC%9A	REVIEW
silver-53b91a8535d97ee7	finance	美国货币	United States currency	အမေရိကန်ငွေကြေး	美国货币	1.0	美国货币	1.0	https://zh.wikipedia.org/wiki/%E7%BE%8E%E5%9B%BD%E8%B4%A7%E5%B8%81	REVIEW
silver-4d80207f6e6a32ec	finance	美国财政部	United States Department of the Treasury	အမေရိကန် ဘဏ္ဍာရေးဌာန	美国财政部	1.0	美国财政部	1.0	https://zh.wikipedia.org/wiki/%E7%BE%8E%E5%9B%BD%E8%B4%A2%E6%94%BF%E9%83%A8	REVIEW
silver-6bcb7dcb29a13579	finance	芝加哥大学	University of Chicago	ချီကာဂို တက္ကသိုလ်	芝加哥大学	1.0	芝加哥大学	1.0	https://zh.wikipedia.org/wiki/%E8%8A%9D%E5%8A%A0%E5%93%A5%E5%A4%A7%E5%AD%A6	REVIEW
silver-3166fda4c71b3478	finance	乌兹别克斯坦	Uzbekistan	အူဇဘက်စတန်	乌兹别克斯坦	1.0	乌兹别克斯坦	1.0	https://zh.wikipedia.org/wiki/%E4%B9%8C%E5%85%B9%E5%88%AB%E5%85%8B%E6%96%AF%E5%9D%A6	REVIEW
silver-082d3a8223bf6ce4	finance	增值税	Value added tax	တန်ဖိုးတိုးခွန်	增值税	1.0	增值税	1.0	https://zh.wikipedia.org/wiki/%E5%A2%9E%E5%80%BC%E7%A8%8E	REVIEW
silver-23e2e8acf2e9eead	finance	温州市	Wenzhou City	ဝင်းဇူမြို့	温州市	1.0	温州市	1.0	https://zh.wikipedia.org/wiki/%E6%B8%A9%E5%B7%9E%E5%B8%82	REVIEW
silver-487c74839106531f	finance	维基百科	Wikipedia	ဝီကီပီးဒီးယား	维基百科	1.0	维基百科	1.0	https://zh.wikipedia.org/wiki/%E7%BB%B4%E5%9F%BA%E7%99%BE%E7%A7%91	REVIEW
silver-b2601854dd8eaaf4	finance	世界遗产	World Heritage	ကမ္ဘာ့ အမွေအနှစ်	世界遗产	1.0	世界遗产	1.0	https://zh.wikipedia.org/wiki/%E4%B8%96%E7%95%8C%E9%81%97%E4%BA%A7	REVIEW
silver-e4578f8af6304c69	finance	苏黎世	Zurich	ဇူးရစ်မြို့	苏黎世	1.0	苏黎世	1.0	https://zh.wikipedia.org/wiki/%E8%8B%8F%E9%BB%8E%E4%B8%96	REVIEW
silver-e3f89046a0429ad2	intl	非洲联盟	African Union	အာဖရိကသမဂ္ဂ	非洲联盟	1.0	非洲联盟	1.0	https://zh.wikipedia.org/wiki/%E9%9D%9E%E6%B4%B2%E8%81%94%E7%9B%9F	REVIEW
silver-37eb14e4da69fc27	intl	阿根廷	Argentina	အာဂျင်တီးနား	阿根廷	1.0	阿根廷	1.0	https://zh.wikipedia.org/wiki/%E9%98%BF%E6%A0%B9%E5%BB%B7	REVIEW
silver-0b1001a02c971a01	intl	澳大利亚	Australia	သြစတြေးလျ	澳大利亚	1.0	澳大利亚	1.0	https://zh.wikipedia.org/wiki/%E6%BE%B3%E5%A4%A7%E5%88%A9%E4%BA%9A	REVIEW
silver-7138b06af4a7e5fe	intl	阿塞拜疆	Azerbaijan	အာဇင်ဘိုင်ဂျန်	阿塞拜疆	1.0	阿塞拜疆	1.0	https://zh.wikipedia.org/wiki/%E9%98%BF%E5%A1%9E%E6%8B%9C%E7%96%86	REVIEW
silver-391c8b512df34945	intl	孟加拉国	Bangladesh	ဘင်္ဂလားဒေ့ရှ်	孟加拉国	1.0	孟加拉国	1.0	https://zh.wikipedia.org/wiki/%E5%AD%9F%E5%8A%A0%E6%8B%89%E5%9B%BD	REVIEW
silver-0591e97ab5bc055a	intl	布鲁塞尔	Brussels	ဘရူဆက်လ်	布鲁塞尔	1.0	布鲁塞尔	1.0	https://zh.wikipedia.org/wiki/%E5%B8%83%E9%B2%81%E5%A1%9E%E5%B0%94	REVIEW
silver-e6ff6d750de02e32	intl	柬埔寨	Cambodia	ကမ္ဘောဒီးယား	柬埔寨	1.0	柬埔寨	1.0	https://zh.wikipedia.org/wiki/%E6%9F%AC%E5%9F%94%E5%AF%A8	REVIEW
silver-6930e3f7dd59ab4d	intl	加拿大	Canada	ကနေဒါ	加拿大	1.0	加拿大	1.0	https://zh.wikipedia.org/wiki/%E5%8A%A0%E6%8B%BF%E5%A4%A7	REVIEW
silver-2d0565141919455a	intl	化学武器	Chemical weapons	ဓာတုလက်နက်	化学武器	1.0	化学武器	1.0	https://zh.wikipedia.org/wiki/%E5%8C%96%E5%AD%A6%E6%AD%A6%E5%99%A8	REVIEW
silver-e2e48145e767198f	intl	欧盟宪法	Constitution of the European Union	ဥရောပသမဂ္ဂ အခြေခံဥပဒေ	欧洲联盟宪法	0.8	欧洲联盟宪法	0.8	https://zh.wikipedia.org/wiki/%E6%AC%A7%E7%9B%9F%E5%AE%AA%E6%B3%95	REVIEW
silver-cc5dbc698d2a5479	intl	克罗地亚	Croatia	ကရိုအေးရှား	克罗地亚	1.0	克罗地亚	1.0	https://zh.wikipedia.org/wiki/%E5%85%8B%E7%BD%97%E5%9C%B0%E4%BA%9A	REVIEW
silver-7eee65c72b39eb00	intl	捷克斯洛伐克	Czechoslovakia	ချက်စလိုဗက်နိုင်ငံ	捷克斯洛伐克	1.0	捷克斯洛伐克	1.0	https://zh.wikipedia.org/wiki/%E6%8D%B7%E5%85%8B%E6%96%AF%E6%B4%9B%E4%BC%90%E5%85%8B	REVIEW
silver-6ca31683f884ef87	intl	越南民主共和国	Democratic Republic of Vietnam	ဗီယက်နမ် ဒီမိုကရေစီနိုင်ငံ	越南民主共和国	1.0	越南民主共和国	1.0	https://zh.wikipedia.org/wiki/%E8%B6%8A%E5%8D%97%E6%B0%91%E4%B8%BB%E5%85%B1%E5%92%8C%E5%9B%BD	REVIEW
silver-fdefa272cc0f27b0	intl	联合国常务副秘书长	Deputy Secretary-General of the United Nations	ကုလသမဂ္ဂ အမြဲတမ်း ဒုတိယ အတွင်းရေးမှူး	联合国副秘书长	0.875	联合国常任副秘书长	0.8889	https://zh.wikipedia.org/wiki/%E8%81%94%E5%90%88%E5%9B%BD%E5%B8%B8%E5%8A%A1%E5%89%AF%E7%A7%98%E4%B9%A6%E9%95%BF	REVIEW
silver-4627554263eb5826	intl	环境保护	Environmental protection	ပတ်ဝန်းကျင် ကာကွယ်ရေး	环境保护	1.0	保护环境	1.0	https://zh.wikipedia.org/wiki/%E7%8E%AF%E5%A2%83%E4%BF%9D%E6%8A%A4	REVIEW
silver-889be185c8b41c30	intl	埃塞俄比亚	Ethiopia	အီသီယိုးပီးယား	埃塞俄比亚	1.0	埃塞俄比亚	1.0	https://zh.wikipedia.org/wiki/%E5%9F%83%E5%A1%9E%E4%BF%84%E6%AF%94%E4%BA%9A	REVIEW
silver-4d8399ff796c8ff6	intl	欧洲联盟	European Union	ဥရောပသမဂ္ဂ	欧洲联盟	1.0	欧洲联盟	1.0	https://zh.wikipedia.org/wiki/%E6%AC%A7%E6%B4%B2%E8%81%94%E7%9B%9F	REVIEW
silver-0f7efc92066d7912	intl	福克兰群岛	Falkland Islands	ဖော့ကလန်ကျွန်းများ	福克兰群岛	1.0	福克兰群岛	1.0	https://zh.wikipedia.org/wiki/%E7%A6%8F%E5%85%8B%E5%85%B0%E7%BE%A4%E5%B2%9B	REVIEW
silver-64ea7c8415fdb96c	intl	种族灭绝	Genocide	လူမျိုးတုံးသတ်ဖြတ်မှု	种族灭绝	1.0	种族灭绝	1.0	https://zh.wikipedia.org/wiki/%E7%A7%8D%E6%97%8F%E7%81%AD%E7%BB%9D	REVIEW
silver-c559e7279a0657f7	intl	几内亚	Guinea	ဂီနီယား	几内亚	1.0	几内亚	1.0	https://zh.wikipedia.org/wiki/%E5%87%A0%E5%86%85%E4%BA%9A	REVIEW
silver-f29569c0ead223c8	intl	河南省	Henan Province	ဟင်နန်ပြည်နယ်	河南省	1.0	河南省	1.0	https://zh.wikipedia.org/wiki/%E6%B2%B3%E5%8D%97%E7%9C%81	REVIEW
silver-31c3656605d7e889	intl	帝国主义	Imperialism	အင်ပါယာဝါဒ	帝国主义	1.0	帝国主义	1.0	https://zh.wikipedia.org/wiki/%E5%B8%9D%E5%9B%BD%E4%B8%BB%E4%B9%89	REVIEW
silver-a509a5f39dcdbf6b	intl	印度外交	Indian diplomacy	အိန္ဒိယနိုင်ငံခြားရေး	印度外交	1.0	印度外交	1.0	https://zh.wikipedia.org/wiki/%E5%8D%B0%E5%BA%A6%E5%A4%96%E4%BA%A4	REVIEW
silver-e9797f808e99d617	intl	国际法院	International Court of Justice	နိုင်ငံတကာ တရားရုံး	国际法院	1.0	国际法院	1.0	https://zh.wikipedia.org/wiki/%E5%9B%BD%E9%99%85%E6%B3%95%E9%99%A2	REVIEW
silver-e9331034967ed0b2	intl	国际刑事法院	International Criminal Court	နိုင်ငံတကာ ရာဇဝတ်မှု တရားရုံး	国际刑事法院	1.0	国际刑事法院	1.0	https://zh.wikipedia.org/wiki/%E5%9B%BD%E9%99%85%E5%88%91%E4%BA%8B%E6%B3%95%E9%99%A2	REVIEW
silver-084316ba9e481f2b	intl	国际组织	International organizations	နိုင်ငံတကာ အဖွဲ့အစည်းများ	国际组织	1.0	国际组织	1.0	https://zh.wikipedia.org/wiki/%E5%9B%BD%E9%99%85%E7%BB%84%E7%BB%87	REVIEW
silver-aa33983fab6ef32d	intl	国际主义	Internationalism	နိုင်ငံတကာဝါဒ	国际主义	1.0	国际主义	1.0	https://zh.wikipedia.org/wiki/%E5%9B%BD%E9%99%85%E4%B8%BB%E4%B9%89	REVIEW
silver-3635e474d230f182	intl	伊拉克	Iraq	အီရတ်	伊拉克	1.0	伊拉克	1.0	https://zh.wikipedia.org/wiki/%E4%BC%8A%E6%8B%89%E5%85%8B	REVIEW
silver-3ff1c30cccbb355a	intl	伊拉克战争	Iraq War	အီရတ်စစ်ပွဲ	伊拉克战争	1.0	伊拉克战争	1.0	https://zh.wikipedia.org/wiki/%E4%BC%8A%E6%8B%89%E5%85%8B%E6%88%98%E4%BA%89	REVIEW
silver-6f8eab9a291791e8	intl	爱尔兰	Ireland	အိုင်ယာလန်	爱尔兰	1.0	爱尔兰	1.0	https://zh.wikipedia.org/wiki/%E7%88%B1%E5%B0%94%E5%85%B0	REVIEW
silver-47da6f2f612bda72	intl	伊斯兰国	Islamic State	အစ္စလာမ် နိုင်ငံ	伊斯兰国	1.0	伊斯兰国	1.0	https://zh.wikipedia.org/wiki/%E4%BC%8A%E6%96%AF%E5%85%B0%E5%9B%BD	REVIEW
silver-294eb34fe0a1ee1a	intl	以色列	Israel	အစ္စရေး	以色列	1.0	以色列	1.0	https://zh.wikipedia.org/wiki/%E4%BB%A5%E8%89%B2%E5%88%97	REVIEW
silver-030fbbc33524d34f	intl	耶路撒冷	Jerusalem	ဂျေရုဆလင်	耶路撒冷	1.0	耶路撒冷	1.0	https://zh.wikipedia.org/wiki/%E8%80%B6%E8%B7%AF%E6%92%92%E5%86%B7	REVIEW
silver-25eb4860f7e31a2f	intl	哈萨克斯坦	Kazakhstan	ကဇက်ကစ္စတန်	哈萨克斯坦	1.0	哈萨克斯坦	1.0	https://zh.wikipedia.org/wiki/%E5%93%88%E8%90%A8%E5%85%8B%E6%96%AF%E5%9D%A6	REVIEW
silver-0b51895bad134ad5	intl	肯尼亚	Kenya	ကင်ညာ	肯尼亚	1.0	肯尼亚	1.0	https://zh.wikipedia.org/wiki/%E8%82%AF%E5%B0%BC%E4%BA%9A	REVIEW
silver-8233cd7dbda6da83	intl	科索沃	Kosovo	ကိုဆိုဗိုနိုင်ငံ	科索沃	1.0	科索沃	1.0	https://zh.wikipedia.org/wiki/%E7%A7%91%E7%B4%A2%E6%B2%83	REVIEW
silver-16f0feaaf8f8b690	intl	科索沃战争	Kosovo War	ကောစိုဗို စစ်ပွဲ	科索沃战争	1.0	科索沃战争	1.0	https://zh.wikipedia.org/wiki/%E7%A7%91%E7%B4%A2%E6%B2%83%E6%88%98%E4%BA%89	REVIEW
silver-fc600994c8e96b00	intl	阿拉伯国家联盟	League of Arab States	အာရပ်နိုင်ငံများ အဖွဲ့ချုပ်	阿拉伯国家联盟	1.0	阿拉伯国家联盟	1.0	https://zh.wikipedia.org/wiki/%E9%98%BF%E6%8B%89%E4%BC%AF%E5%9B%BD%E5%AE%B6%E8%81%94%E7%9B%9F	REVIEW
silver-e6ba04d42cb89595	intl	黎巴嫩	Lebanon	လီဘနန်	黎巴嫩	1.0	黎巴嫩	1.0	https://zh.wikipedia.org/wiki/%E9%BB%8E%E5%B7%B4%E5%AB%A9	REVIEW
silver-23b84041a217d53e	intl	利比亚	Libya	လစ်ဗျား	利比亚	1.0	利比亚	1.0	https://zh.wikipedia.org/wiki/%E5%88%A9%E6%AF%94%E4%BA%9A	REVIEW
silver-680996175f5dba5f	intl	伦敦条约	London Treaty	လန်ဒန်စာချုပ်	伦敦条约	1.0	伦敦条约	1.0	https://zh.wikipedia.org/wiki/%E4%BC%A6%E6%95%A6%E6%9D%A1%E7%BA%A6	REVIEW
silver-b71e160135624b0b	intl	马斯特里赫特条约	Maastricht Treaty	မက်စရစ်ဟတ်စာချုပ်	马斯特里赫特条约	1.0	马斯里哈特条约	0.8	https://zh.wikipedia.org/wiki/%E9%A9%AC%E6%96%AF%E7%89%B9%E9%87%8C%E8%B5%AB%E7%89%B9%E6%9D%A1%E7%BA%A6	REVIEW
silver-b77d1845765c5d8b	intl	马德里	Madrid	မက်ဒရစ်	马德里	1.0	马德里	1.0	https://zh.wikipedia.org/wiki/%E9%A9%AC%E5%BE%B7%E9%87%8C	REVIEW
silver-b3320aa9c0948089	intl	马来西亚	Malaysia	မလေးရှား	马来西亚	1.0	马来西亚	1.0	https://zh.wikipedia.org/wiki/%E9%A9%AC%E6%9D%A5%E8%A5%BF%E4%BA%9A	REVIEW
silver-f5b984831b2d99e5	intl	墨西哥	Mexico	မက္ကဆီကို	墨西哥	1.0	墨西哥	1.0	https://zh.wikipedia.org/wiki/%E5%A2%A8%E8%A5%BF%E5%93%A5	REVIEW
silver-f387e6dc757a80a1	intl	千年发展目标	Millennium Development Goals	နှစ်ထောင်စု ဖွံ့ဖြိုးရေး ရည်မှန်းချက်များ	千年发展目标	1.0	千年发展目标	1.0	https://zh.wikipedia.org/wiki/%E5%8D%83%E5%B9%B4%E5%8F%91%E5%B1%95%E7%9B%AE%E6%A0%87	REVIEW
silver-167ff30079a6f664	intl	纳米比亚	Namibia	နမ်ဘီးယား	纳米比亚	1.0	纳米比亚	1.0	https://zh.wikipedia.org/wiki/%E7%BA%B3%E7%B1%B3%E6%AF%94%E4%BA%9A	REVIEW
silver-5f6972c0c2077027	intl	南京条约	Nanjing Treaty	နန်ဂျင်းစာချုပ်	南京条约	1.0	南京条约	1.0	https://zh.wikipedia.org/wiki/%E5%8D%97%E4%BA%AC%E6%9D%A1%E7%BA%A6	REVIEW
silver-5fde37fd6c46b218	intl	尼泊尔	Nepal	နီပေါ	尼泊尔	1.0	尼泊尔	1.0	https://zh.wikipedia.org/wiki/%E5%B0%BC%E6%B3%8A%E5%B0%94	REVIEW
silver-aa13aa94cede1a03	intl	尼加拉瓜	Nicaragua	နီဂါလာဂွါ	尼加拉瓜	1.0	尼加拉瓜	1.0	https://zh.wikipedia.org/wiki/%E5%B0%BC%E5%8A%A0%E6%8B%89%E7%93%9C	REVIEW
silver-18284f4e1695ceec	intl	非政府组织	Non-governmental organizations	NGO များ	非政府组织	1.0	非政府组织	1.0	https://zh.wikipedia.org/wiki/%E9%9D%9E%E6%94%BF%E5%BA%9C%E7%BB%84%E7%BB%87	REVIEW
silver-90b839fc0340954e	intl	东北亚	North-East Asia	အရှေ့မြောက်အာရှ	东北亚	1.0	东北亚	1.0	https://zh.wikipedia.org/wiki/%E4%B8%9C%E5%8C%97%E4%BA%9A	REVIEW
silver-97b32f222f53e203	intl	伊斯兰合作组织	Organization of Islamic Cooperation	အစ္စလာမ်ရေး ပူးပေါင်းဆောင်ရွက်ရေး အဖွဲ့	伊斯兰合作组织	1.0	伊斯兰合作组织	1.0	https://zh.wikipedia.org/wiki/%E4%BC%8A%E6%96%AF%E5%85%B0%E5%90%88%E4%BD%9C%E7%BB%84%E7%BB%87	REVIEW
silver-617ef0f0a028b8b8	intl	太平洋战争	Pacific War	ပစိဖိတ်စစ်ပွဲ	太平洋战争	1.0	太平洋战争	1.0	https://zh.wikipedia.org/wiki/%E5%A4%AA%E5%B9%B3%E6%B4%8B%E6%88%98%E4%BA%89	REVIEW
silver-cefd0f353194c326	intl	巴拉圭	Paraguay	ပါရာဂေး	巴拉圭	1.0	巴拉圭	1.0	https://zh.wikipedia.org/wiki/%E5%B7%B4%E6%8B%89%E5%9C%AD	REVIEW
silver-7f772898be0681e3	intl	卡塔尔	Qatar	ကာတာ	卡塔尔	1.0	卡塔尔	1.0	https://zh.wikipedia.org/wiki/%E5%8D%A1%E5%A1%94%E5%B0%94	REVIEW
silver-d8fcbae05f79fb85	intl	俄罗斯	Russia	ရုရှား	俄罗斯	1.0	俄罗斯	1.0	https://zh.wikipedia.org/wiki/%E4%BF%84%E7%BD%97%E6%96%AF	REVIEW
silver-7333a1d56c14c046	intl	圣卢西亚	Saint Lucia	ဆန်လူးစီယား	圣卢西亚	1.0	圣卢西亚	1.0	https://zh.wikipedia.org/wiki/%E5%9C%A3%E5%8D%A2%E8%A5%BF%E4%BA%9A	REVIEW
